Strip,LED,Global LED,Hue,Hex
0,0,0,20,#FF7800
0,1,1,20,#FF7800
0,2,2,20,#FF7800
0,3,3,20,#FF7800
0,4,4,20,#FF7800
0,5,5,20,#FF7800
0,6,6,20,#FF7800
0,7,7,20,#FF7800
0,8,8,28,#FFA800
0,9,9,28,#FFA800
0,10,10,28,#FFA800
0,11,11,28,#FFA800
0,12,12,28,#FFA800
0,13,13,28,#FFA800
0,14,14,28,#FFA800
0,15,15,28,#FFA800
0,16,16,28,#FFA800
0,17,17,28,#FFA800
0,18,18,28,#FFA800
0,19,19,28,#FFA800
0,20,20,28,#FFA800
0,21,21,28,#FFA800
0,22,22,28,#FFA800
0,23,23,28,#FFA800
1,0,24,14,#FF5400
1,1,25,14,#FF5400
1,2,26,14,#FF5400
1,3,27,14,#FF5400
1,4,28,14,#FF5400
1,5,29,14,#FF5400
1,6,30,14,#FF5400
1,7,31,14,#FF5400
1,8,32,22,#FF8400
1,9,33,22,#FF8400
1,10,34,22,#FF8400
1,11,35,22,#FF8400
1,12,36,22,#FF8400
1,13,37,22,#FF8400
1,14,38,22,#FF8400
1,15,39,22,#FF8400
1,16,40,22,#FF8400
1,17,41,22,#FF8400
1,18,42,22,#FF8400
1,19,43,22,#FF8400
1,20,44,22,#FF8400
1,21,45,22,#FF8400
1,22,46,22,#FF8400
1,23,47,22,#FF8400
2,0,48,8,#FF3000
2,1,49,8,#FF3000
2,2,50,8,#FF3000
2,3,51,8,#FF3000
2,4,52,8,#FF3000
2,5,53,8,#FF3000
2,6,54,8,#FF3000
2,7,55,8,#FF3000
2,8,56,16,#FF6000
2,9,57,16,#FF6000
2,10,58,16,#FF6000
2,11,59,16,#FF6000
2,12,60,16,#FF6000
2,13,61,16,#FF6000
2,14,62,16,#FF6000
2,15,63,16,#FF6000
2,16,64,16,#FF6000
2,17,65,16,#FF6000
2,18,66,16,#FF6000
2,19,67,16,#FF6000
2,20,68,16,#FF6000
2,21,69,16,#FF6000
2,22,70,16,#FF6000
2,23,71,16,#FF6000
3,0,72,224,#FF00BA
3,1,73,224,#FF00BA
3,2,74,224,#FF00BA
3,3,75,224,#FF00BA
3,4,76,224,#FF00BA
3,5,77,224,#FF00BA
3,6,78,224,#FF00BA
3,7,79,224,#FF00BA
3,8,80,204,#CC00FF
3,9,81,204,#CC00FF
3,10,82,204,#CC00FF
3,11,83,204,#CC00FF
3,12,84,204,#CC00FF
3,13,85,204,#CC00FF
3,14,86,204,#CC00FF
3,15,87,204,#CC00FF
3,16,88,204,#CC00FF
3,17,89,204,#CC00FF
3,18,90,204,#CC00FF
3,19,91,204,#CC00FF
3,20,92,204,#CC00FF
3,21,93,204,#CC00FF
3,22,94,204,#CC00FF
3,23,95,204,#CC00FF
4,0,96,192,#8400FF
4,1,97,192,#8400FF
4,2,98,192,#8400FF
4,3,99,192,#8400FF
4,4,100,192,#8400FF
4,5,101,192,#8400FF
4,6,102,192,#8400FF
4,7,103,192,#8400FF
4,8,104,172,#0C00FF
4,9,105,172,#0C00FF
4,10,106,172,#0C00FF
4,11,107,172,#0C00FF
4,12,108,172,#0C00FF
4,13,109,172,#0C00FF
4,14,110,172,#0C00FF
4,15,111,172,#0C00FF
4,16,112,172,#0C00FF
4,17,113,172,#0C00FF
4,18,114,172,#0C00FF
4,19,115,172,#0C00FF
4,20,116,172,#0C00FF
4,21,117,172,#0C00FF
4,22,118,172,#0C00FF
4,23,119,172,#0C00FF
5,0,120,160,#003CFF
5,1,121,160,#003CFF
5,2,122,160,#003CFF
5,3,123,160,#003CFF
5,4,124,160,#003CFF
5,5,125,160,#003CFF
5,6,126,160,#003CFF
5,7,127,160,#003CFF
5,8,128,140,#00B4FF
5,9,129,140,#00B4FF
5,10,130,140,#00B4FF
5,11,131,140,#00B4FF
5,12,132,140,#00B4FF
5,13,133,140,#00B4FF
5,14,134,140,#00B4FF
5,15,135,140,#00B4FF
5,16,136,140,#00B4FF
5,17,137,140,#00B4FF
5,18,138,140,#00B4FF
5,19,139,140,#00B4FF
5,20,140,140,#00B4FF
5,21,141,140,#00B4FF
5,22,142,140,#00B4FF
5,23,143,140,#00B4FF
6,0,144,156,#0054FF
6,1,145,156,#0054FF
6,2,146,156,#0054FF
6,3,147,156,#0054FF
6,4,148,156,#0054FF
6,5,149,156,#0054FF
6,6,150,156,#0054FF
6,7,151,156,#0054FF
6,8,152,156,#0054FF
6,9,153,156,#0054FF
6,10,154,156,#0054FF
6,11,155,156,#0054FF
6,12,156,156,#0054FF
6,13,157,156,#0054FF
6,14,158,156,#0054FF
6,15,159,156,#0054FF
6,16,160,156,#0054FF
6,17,161,156,#0054FF
6,18,162,156,#0054FF
6,19,163,156,#0054FF
6,20,164,156,#0054FF
6,21,165,156,#0054FF
6,22,166,156,#0054FF
6,23,167,156,#0054FF
7,0,168,12,#FF4800
7,1,169,13,#FF4E00
7,2,170,14,#FF5400
7,3,171,15,#FF5A00
7,4,172,16,#FF6000
7,5,173,17,#FF6600
7,6,174,18,#FF6C00
7,7,175,19,#FF7200
7,8,176,20,#FF7800
7,9,177,21,#FF7E00
7,10,178,22,#FF8400
7,11,179,23,#FF8A00
7,12,180,24,#FF9000
7,13,181,25,#FF9600
7,14,182,26,#FF9C00
7,15,183,27,#FFA200
7,16,184,28,#FFA800
7,17,185,29,#FFAE00
7,18,186,30,#FFB400
7,19,187,31,#FFBA00
7,20,188,32,#FFC000
7,21,189,33,#FFC600
7,22,190,34,#FFCC00
7,23,191,35,#FFD200
